CDT  ID  PT  WT  TID
1:2  6  0:16  0:5  3
1:9  3  0:2  0:19  3
1:13  1  0:0  1:9  1
1:21  5  0:14  1:2  5
1:21  7  0:20  0:20  5
1:21  4  0:10  1:6  5
1:23  2  0:1  1:15  5
2:1  10  1:5  0:4  1
2:18  11  1:16  0:19  4
2:23  13  2:4  0:7  4
2:23  16  2:7  0:7  2
3:3  12  2:1  0:13  2
3:5  14  2:5  0:12  3
3:15  19  2:15  0:20  1
3:16  17  2:10  0:7  3
3:16  18  2:12  0:22  6
3:17  20  2:20  0:15  1
3:17  15  2:6  1:4  6
3:19  9  1:4  2:6  6
3:22  8  1:1  2:9  6
4:5  21  2:23  0:23  4
4:10  24  3:5  0:17  4
4:19  26  3:7  1:3  2
4:22  22  3:1  1:9  2
5:3  28  3:20  1:0  1
5:3  30  4:0  0:20  1
5:4  23  3:3  1:19  5
5:5  27  3:15  1:7  5
5:5  29  3:23  0:23  5
5:5  25  3:6  1:16  5
Cargos: 30[N: 10, S: 8, V: 12]
Cargo Avg Wait = 0:23
Trucks: 6[N: 2, S: 2, V: 2]
Avg Active Time = 36%
Avg Utilization = 36%
