CDT  ID  PT  WT  TID
1:11  5  1:2  0:8  7
1:14  8  1:4  0:6  7
1:19  2  1:1  0:15  8
1:21  9  1:4  0:12  8
1:21  3  1:1  0:18  4
1:22  6  1:3  0:16  4
2:0  11  1:6  0:13  4
2:2  4  1:2  0:21  7
2:2  1  1:1  0:21  1
2:3  13  1:8  0:11  4
2:4  7  1:4  0:19  7
2:6  16  1:11  0:11  1
2:9  12  1:7  0:15  1
2:12  10  1:6  0:16  1
2:15  14  1:9  1:3  5
2:16  17  1:11  1:1  5
2:19  19  1:13  1:4  2
2:20  25  1:18  0:18  5
2:21  21  1:16  0:20  5
2:23  20  1:14  1:3  2
3:0  22  1:16  1:1  2
3:0  26  1:18  0:23  2
3:2  24  1:17  1:4  3
3:5  18  1:12  1:9  3
3:5  15  1:11  1:10  3
3:7  23  1:17  1:4  3
Cargos: 26[N: 8, S: 8, V: 10]
Cargo Avg Wait = 0:19
Trucks: 8[N: 3, S: 3, V: 2]
Avg Active Time = 26%
Avg Utilization = 26%
